Accuracy,precision,Recall,f1,roc,data_Set,model
0.8076923076923077,0.8571428571428571,0.9333333333333333,0.8936170212765957,0.4666666666666667,df_10_MATH,rf_classifier
0.8846153846153846,0.8846153846153846,1.0,0.9387755102040816,0.5,df_10_LECT,rf_classifier
0.8884615384615384,0.8,0.975609756097561,0.8791208791208791,0.5332594235033259,df_10_INGLES,rf_classifier
0.85,0.8095238095238095,0.8717948717948718,0.8395061728395062,0.6282051282051282,df_10_CIENCIAS,gb_classifier
0.8692307692307693,0.8333333333333334,0.875,0.8536585365853658,0.6458333333333333,df_10_SOCIALES,gb_classifier
0.8888888888888888,0.9253731343283582,0.9538461538461539,0.9393939393939394,0.6197802197802198,df_11_MATH,rf_classifier
0.8611111111111112,0.8823529411764706,0.967741935483871,0.923076923076923,0.5838709677419355,df_11_LECT,rf_classifier
0.8194444444444444,0.8382352941176471,0.9661016949152542,0.8976377952755905,0.559973924380704,df_11_INGLES,rf_classifier
0.8472222222222222,0.9,0.9152542372881356,0.9075630252100839,0.7268578878748371,df_11_CIENCIAS,gb_classifier
0.8472222222222222,0.875,0.9491525423728814,0.9105691056910569,0.666883963494133,df_11_SOCIALES,rf_classifier
0.9032258064516129,0.9120879120879121,0.9880952380952381,0.9485714285714287,0.5496031746031746,df_12_MATH,rf_classifier
0.8387096774193549,0.8539325842696629,0.9743589743589743,0.9101796407185628,0.5538461538461539,df_12_LECT,rf_classifier
0.8064516129032258,0.8352941176470589,0.9466666666666667,0.8875,0.5844444444444444,df_12_INGLES,rf_classifier
0.8172043010752689,0.8734177215189873,0.9078947368421053,0.8903225806451613,0.6598297213622291,df_12_CIENCIAS,rf_classifier
0.8279569892473119,0.8441558441558441,0.9420289855072463,0.8904109589041096,0.7210144927536232,df_12_SOCIALES,gb_classifier
